@RELATION IntronExon
@ATTRIBUTE B1 INTEGER
@ATTRIBUTE B2 INTEGER
@ATTRIBUTE B3 INTEGER
@ATTRIBUTE B4 INTEGER
@ATTRIBUTE B5 INTEGER
@ATTRIBUTE B6 INTEGER
@ATTRIBUTE B7 INTEGER
@ATTRIBUTE B8 INTEGER
@ATTRIBUTE B9 INTEGER
@ATTRIBUTE B10 INTEGER
@ATTRIBUTE B11 INTEGER
@ATTRIBUTE B12 INTEGER
@ATTRIBUTE B13 INTEGER
@ATTRIBUTE B14 INTEGER
@ATTRIBUTE B15 INTEGER
@ATTRIBUTE B16 INTEGER
@ATTRIBUTE B17 INTEGER
@ATTRIBUTE B18 INTEGER
@ATTRIBUTE B19 INTEGER
@ATTRIBUTE B20 INTEGER
@ATTRIBUTE B21 INTEGER
@ATTRIBUTE B22 INTEGER
@ATTRIBUTE B23 INTEGER
@ATTRIBUTE B24 INTEGER
@ATTRIBUTE B25 INTEGER
@ATTRIBUTE B26 INTEGER
@ATTRIBUTE B27 INTEGER
@ATTRIBUTE B28 INTEGER
@ATTRIBUTE B29 INTEGER
@ATTRIBUTE B30 INTEGER
@ATTRIBUTE B31 INTEGER
@ATTRIBUTE B32 INTEGER
@ATTRIBUTE B33 INTEGER
@ATTRIBUTE B34 INTEGER
@ATTRIBUTE B35 INTEGER
@ATTRIBUTE B36 INTEGER
@ATTRIBUTE B37 INTEGER
@ATTRIBUTE B38 INTEGER
@ATTRIBUTE B39 INTEGER
@ATTRIBUTE B40 INTEGER
@ATTRIBUTE B41 INTEGER
@ATTRIBUTE B42 INTEGER
@ATTRIBUTE B43 INTEGER
@ATTRIBUTE B44 INTEGER
@ATTRIBUTE B45 INTEGER
@ATTRIBUTE B46 INTEGER
@ATTRIBUTE B47 INTEGER
@ATTRIBUTE B48 INTEGER
@ATTRIBUTE B49 INTEGER
@ATTRIBUTE B50 INTEGER
@ATTRIBUTE B51 INTEGER
@ATTRIBUTE B52 INTEGER
@ATTRIBUTE B53 INTEGER
@ATTRIBUTE B54 INTEGER
@ATTRIBUTE B55 INTEGER
@ATTRIBUTE B56 INTEGER
@ATTRIBUTE B57 INTEGER
@ATTRIBUTE B58 INTEGER
@ATTRIBUTE B59 INTEGER
@ATTRIBUTE B60 INTEGER
@ATTRIBUTE B61 INTEGER
@ATTRIBUTE B62 INTEGER
@ATTRIBUTE B63 INTEGER
@ATTRIBUTE B64 INTEGER
@ATTRIBUTE B65 INTEGER
@ATTRIBUTE B66 INTEGER
@ATTRIBUTE B67 INTEGER
@ATTRIBUTE B68 INTEGER
@ATTRIBUTE B69 INTEGER
@ATTRIBUTE B70 INTEGER
@ATTRIBUTE B71 INTEGER
@ATTRIBUTE B72 INTEGER
@ATTRIBUTE B73 INTEGER
@ATTRIBUTE B74 INTEGER
@ATTRIBUTE B75 INTEGER
@ATTRIBUTE B76 INTEGER
@ATTRIBUTE B77 INTEGER
@ATTRIBUTE B78 INTEGER
@ATTRIBUTE B79 INTEGER
@ATTRIBUTE B80 INTEGER
@ATTRIBUTE B81 INTEGER
@ATTRIBUTE B82 INTEGER
@ATTRIBUTE B83 INTEGER
@ATTRIBUTE B84 INTEGER
@ATTRIBUTE B85 INTEGER
@ATTRIBUTE B86 INTEGER
@ATTRIBUTE B87 INTEGER
@ATTRIBUTE B88 INTEGER
@ATTRIBUTE B89 INTEGER
@ATTRIBUTE B90 INTEGER
@ATTRIBUTE B91 INTEGER
@ATTRIBUTE B92 INTEGER
@ATTRIBUTE B93 INTEGER
@ATTRIBUTE B94 INTEGER
@ATTRIBUTE B95 INTEGER
@ATTRIBUTE B96 INTEGER
@ATTRIBUTE B97 INTEGER
@ATTRIBUTE B98 INTEGER
@ATTRIBUTE B99 INTEGER
@ATTRIBUTE B100 INTEGER
@ATTRIBUTE B101 INTEGER
@ATTRIBUTE B102 INTEGER
@ATTRIBUTE B103 INTEGER
@ATTRIBUTE B104 INTEGER
@ATTRIBUTE B105 INTEGER
@ATTRIBUTE CLASS {0,1}
@DATA
1,1,3,3,1,1,1,0,0,0,3,1,0,1,1,1,3,1,1,1,0,1,1,3,3,0,2,2,1,1,3,0,1,0,2,1,1,1,1,0,1,3,3,1,0,0,3,2,2,1,2,3,3,3,2,3,2,3,2,3,1,3,2,3,2,3,1,3,2,3,0,1,0,1,2,1,1,3,2,3,2,1,3,1,3,2,2,0,1,3,1,2,1,3,2,3,2,1,0,2,2,2,3,1,1,1
3,1,1,3,2,1,1,1,3,2,1,2,0,0,1,0,1,3,2,3,1,1,1,1,2,2,0,2,1,2,2,2,0,1,1,0,2,0,1,3,0,1,3,2,2,1,1,3,1,3,2,0,2,1,0,3,1,2,2,2,1,1,0,0,2,3,1,1,0,2,1,3,0,1,3,2,0,0,1,1,3,2,1,3,1,1,2,1,3,1,1,3,1,3,1,1,1,1,0,2,2,3,2,3,2,1
0,0,0,2,1,0,2,2,3,2,2,3,1,0,2,0,3,1,1,0,2,3,1,1,3,3,2,1,0,1,3,3,1,1,3,2,0,2,1,1,3,2,0,1,1,3,3,0,1,1,0,1,0,1,0,2,1,3,2,3,1,3,1,1,3,0,3,3,1,2,2,0,3,2,1,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,1,1,1,0,3,3,0,1,0,2,3,3,3,3,2,1
2,0,1,0,1,0,1,1,1,3,2,0,2,1,3,2,2,2,2,0,2,0,3,2,0,2,2,3,1,1,0,2,2,1,3,2,2,2,1,0,1,3,2,3,3,0,2,2,2,3,2,0,2,3,2,2,0,1,1,1,1,1,0,3,1,1,1,3,3,1,1,1,2,1,1,1,3,2,0,2,1,0,2,0,0,0,1,3,2,0,1,3,2,1,1,1,0,1,0,2,2,3,1,1,3,1
1,0,2,1,3,2,1,0,1,1,1,3,1,1,1,3,2,1,0,2,1,0,1,0,2,2,0,3,2,3,1,3,2,2,0,3,2,3,2,3,0,1,3,0,2,2,2,1,0,2,0,2,0,2,2,0,1,0,2,2,0,2,1,1,3,0,2,2,2,0,2,2,1,3,1,1,0,1,3,3,1,1,0,0,0,1,3,2,3,1,1,2,3,1,1,1,0,1,0,2,2,2,2,0,1,1
3,1,2,1,0,2,0,3,2,3,2,3,1,1,1,2,2,3,2,1,3,1,2,2,0,2,0,2,2,2,1,1,2,1,0,2,2,2,1,2,1,2,3,2,2,2,1,1,2,3,2,2,1,2,2,2,0,2,2,1,1,2,1,2,1,3,2,1,3,2,2,2,0,2,1,3,1,0,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,0,2,2,1,3,1,3,1
2,2,0,2,2,2,2,1,2,2,2,2,0,2,2,2,2,1,2,2,2,2,3,1,2,1,2,2,2,2,1,2,2,0,3,2,1,2,2,2,2,2,3,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,3,0,2,2,1,1,1,1,2,1,1,1,1,1,3,1,0,1,3,2,0,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,2,1,3,1,1,3,1
2,1,3,1,1,2,0,1,1,1,2,2,2,1,3,1,1,3,1,2,1,1,1,2,1,1,1,2,2,0,1,1,1,0,1,0,2,2,1,1,0,1,1,1,3,1,0,0,1,1,2,3,1,1,3,2,2,1,1,1,1,2,2,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,3,1,0,1,3,1,3,2,1,3,3,1,3,1,1,1,1,2,1,0,2,2,0,3,2,3,1
2,2,1,2,1,1,3,3,1,1,3,1,3,1,0,2,2,2,1,0,2,0,2,2,0,3,1,0,1,2,1,2,2,2,3,3,2,1,2,2,2,0,2,2,3,2,3,0,2,1,2,1,0,2,2,1,2,2,1,2,2,1,3,2,1,2,2,2,1,1,3,2,2,2,1,1,2,1,0,1,3,2,0,1,1,1,3,1,3,3,1,3,1,3,2,1,0,1,0,2,1,3,1,1,3,1
0,2,0,0,3,2,2,0,2,1,0,2,1,0,1,2,1,3,3,2,3,3,1,1,1,3,2,1,3,2,2,2,3,3,2,3,1,0,2,2,3,2,3,2,2,0,2,0,2,2,2,3,2,1,3,1,1,3,2,2,2,2,3,3,2,3,2,2,3,2,2,1,1,3,2,2,2,2,1,0,1,3,1,0,1,2,2,1,1,1,1,0,3,1,1,1,1,1,0,2,0,3,2,1,1,1
